MIS_NO,MIS_DT,MIS_TYP,PO_NO,ITM_CD,GDN_CD,CHAL_QTY,VENDUQ_QTY,VEND_UQ,VEND_CD,REC_QTY,CHAL_NO,CHAL_DT,RECT_VAL,ACT_QTY,DEV_QTY,RFR_QTY,REJ_QTY,SHT_QTY,TST_QTY,CS_QTY,QLT_RTG,DEL_RTG,MTL_FLG,VAL_FLG,VAL_MTL,INSP_AUTH,INSP_DT,WHAR_DEM,FREIGHT,MC_NT_NO,MC_NT_DT,STAT_CD,MVD_QTY,RV_NO,RV_DT,KOD,COST_CL,PSA_CD,BPLN_NO,DISCOUNT,IGP_NO,BOC_ITM_CD,CON_FACT,WGT,NO_PACKS,PREV_MIS,COMM,COMM1,REMARK,INOTE_NO,REMARK1,QR_QTY,REJ_REASON1,REJ_REASON2,REJ_REASON3,RV_FWD_DT,RV_FWD_TRANS,RV_FWD_SEC,TMP_ACT,STATE_UP,GSTIN_NO,HSN_CD,COMP_SCHEME,GST_EXEMPT,UNIT_RT,CGST_PCT,CGST_AMT,SGST_PCT,SGST_AMT,IGST_PCT,IGST_AMT,MFD_MTH,MFD_YR
20240001,2024/08/04,W,20230204,2110025107,,19,19,,S009925026,19,3,2024/04/04,702810,19,0,0,0,0,0,0,35,2.66,0,0,0,"GM/OPF,KANPUR",2024/20/04,0,0,,,2,19,S20240059,2024/25/04,,,5,119,0,0,2110025107,0,,0,,,,,202400012,N,0,,,,2024/29/04,20240006,6,0,,,0,,,0,0,0,0,0,0,0,,
20240002,2024/08/04,W,20230276,2110025108,,3,3,,S009925026,3,4,2024/04/04,44357.1429,3,0,0,0,0,0,0,35,0.72,0,0,0,"GM/OPF,KANPUR",2024/20/04,0,0,,,2,3,S20240057,2024/25/04,,,5,107,0,0,2110025108,0,,0,,,,,202400013,N,0,,,,2024/29/04,20240006,6,0,,,0,,,0,0,0,0,0,0,0,,
20240024,2024/08/04,M,20230441,2110029021,,3279,3279,,S000321003,3279,2024-25/03,2024/08/04,,0,0,0,3279,0,0,0,0,0,0,0,0,GM OPF,2024/23/05,0,0,,,1,0,,,,,,,0,20240023,2110029021,1,,2,,,,,0,,0,WIRE DIA OBSERVED 5 MM AGAINST SPECIFIED 3.8+/-1 MM.,ZINC PLATING FOUND IN PLACE OF CADMIUM PLATING.,,,,,0,N,07AEHFS1573H1ZV,7326,N,N,9.483,0,0,0,0,18,5597.09,,
20240025,2024/08/04,M,20230454,2010797691,,8774,8774,,T001321011,8774,019/24-25,2024/08/04,373696.4035,7895,0,879,0,0,246,0,31.49,6.07,0,0,0,GM OPF,2024/03/05,0,0,,,2,7895,S20240113,2024/09/05,,,5,415,0,20240024,2010797691,1,,2,,,,,202400052,N,0,,,,2024/10/05,20240010,6,0,N,27AAAFT1739P2ZP,5806,N,N,47.33,0,0,0,0,5,20765.12,3,2024
20240026,2024/08/04,M,20230215,2110029012,,1220,1220,,S000921155,1220,1,2024/08/04,136161.8959,1093,0,0,127,0,1,0,31.36,14.92,0,0,0,GM OPF,2024/11/05,0,0,,,2,1093,S20240186,2024/21/05,5,,5,1215,0,20240025,2110029012,1,,3,,,,,202400075,N,,REJECTED DUE TO CRACK DURING LOAD TEST AND POOR FINISH,,,2024/24/05,20240018,6,0,Y,09AAYFS2731C1ZY,8804,N,N,124.58,9,13678.88,9,13687.88,0,0,4,2024
20240027,2024/08/04,M,20220021,2110008014,,50,50,,S000921155,50,2,2024/08/04,18000,50,0,0,0,0,3,0,35,0,0,0,0,GM OPF,2024/23/05,0,0,,,2,50,S20240230,2024/29/05,5,,5,1213,0,20240026,2110008014,1,,1,,,,,202400119,N,0,,,,2024/31/05,20240028,6,0,Y,09AAYFS2731C1ZY,8804,N,N,360,9,1620,9,1620,0,0,3,2024
20240028,2024/08/04,M,20230554,2101221594,,480,480,,R000921133,480,2,2024/08/04,28800,480,0,0,0,0,0,0,35,30,0,0,0,"GM/OPF,KANPUR",2024/23/04,0,0,,,2,480,S20240067,2024/26/04,,,5,101,0,20240027,2101221594,1,,1,,,,,202400020,N,0,,,,2024/29/04,20240006,6,0,Y,09ANEPA8860F1Z0,4911,N,N,60,9,2592,9,2592,0,0,,
20240029,2024/09/04,M,20230414,2101126379,,8555,8555,,M000421005,8555,38,2024/09/04,117839.5778,8482,0,73,0,0,132,0,34.7,29.52,0,0,0,GM OPF,2024/28/05,0,0,,,2,8482,S20240277,2024/13/06,,,5,412,0,20240028,2101126379,1,,2,,,,,202400149,N,0,,,,2024/24/06,20240039,6,0,Y,09AAACM9362J1Z2,5607,N,N,13.8929,6,7131.23,6,7131.23,0,0,3,2024
20240030,2024/09/04,M,20230413,2101126378,,8400,8400,,M000421005,8400,37,2024/09/04,110441.9996,8324,0,76,0,0,51,0,34.68,29.9,0,0,0,GM OPF,2024/24/05,0,0,,,2,8324,S20240278,2024/13/06,,,5,411,0,20240029,2101126378,1,,1,,,,,202400126,N,0,,,,2024/24/06,20240039,6,0,Y,09AAACM9362J1Z2,5607,N,N,13.26,6,6687.02,6,6687.02,0,0,3,2024
20240031,2024/09/04,M,20230394,2101797032,,40139.6,40139.6,,S009925009,40139.6,17,2024/09/04,161211.2258,36402.3,0,3737.3,0,0,525,0,31.74,3.31,0,0,0,GM OPF,2024/21/05,0,0,,,2,36402.3,S20240198,2024/23/05,,,5,301,0,20240030,2101797032,1,,1,,,,,202400107,N,0,,,,2024/30/05,20240026,6,0,Y,09ADWPK1340G1ZE,5607,N,N,4.4286,6,10665.73,6,10665.73,0,0,4,2024
